variavel,descricao-pt,descricao-en,tipo,subtipo
OSEBuildingID,Um identificador exclusivo atribuído a cada propriedade coberta pela Portaria de Referência de Seattle para fins de rastreamento e identificação.,A unique identifier assigned to each property covered by the Seattle Benchmarking Ordinance for tracking and identification purposes.,quantitative,discreet
DataYear,Ano civil (janeiro-dezembro) representado por cada registro de dados.,Calendar year (January-December) represented by each data record.,quantitative,discreet
BuildingName,Nome oficial ou comum da propriedade registrado na cidade de Seattle.,Official or common property name on record with the City of Seattle.,quanlitative,nominal
BuildingType,Classificação de tipo de edifício de alto nível da cidade de Seattle.,City of Seattle high level building type classification.,quanlitative,nominal
TaxParcelIdentificationNumber,Identificador único para a parcela de imposto do edifício.,Unique identifier for the building’s tax parcel.,quantitative,discreet
Address,Endereço do edifício.,Street address of the building.,quanlitative,nominal
City,Cidade onde o edifício está localizado.,City where the building is located.,quanlitative,nominal
State,Sigla do estado onde o edifício está localizado.,State abbreviation where the building is located.,quanlitative,nominal
ZipCode,Código postal do local do edifício.,Postal code for the building location.,quantitative,discreet
Latitude,Coordenada de latitude da localização do edifício.,Latitude coordinate of the building location.,,
Longitude,Coordenada longitudinais da localização do edifício.,Longitude coordinate of the building location.,,
Neighborhood,Área de vizinhança da propriedade definida pelo Departamento de Bairros da Cidade de Seattle.,Property neighborhood area defined by the City of Seattle Department of Neighborhoods.,quantitative,continua
CouncilDistrictCode,Propriedade do distrito do conselho da cidade de Seattle.,Property City of Seattle council district.,,
YearBuilt,Ano em que um imóvel foi construído.,Year in which a property was constructed.,quantitative,discreet
NumberofFloors,Número total de andares do edifício.,Total number of floors in the building.,quantitative,discreet
NumberofBuildings,Número total de estruturas na propriedade.,Total number of structures on the property.,,
PropertyGFATotal,Área bruta total do edifício e do estacionamento.,Total building and parking gross floor area.,,
PropertyGFABuilding(s),"Área total do piso em pés quadrados entre as superfícies externas das paredes de fechamento de um edifício. Isso inclui todas as áreas dentro do(s) edifício(s), como espaço para inquilinos, áreas comuns, escadas, porões, armazenamento, etc...","Total floor space in square feet between the outside surfaces of a building’s enclosing walls. This includes all areas inside the building(s), such as tenant space, common areas, stairwells, basements, storage, etc...",,
PropertyGFAParking,"Espaço total em metros quadrados de todos os tipos de estacionamento (totalmente fechado, parcialmente fechado e aberto).","Total space in square feet of all types of parking (Fully Enclosed, Partially Enclosed, and Open).",,
PrimaryPropertyType,,,,
ENERGYSTARScore,"Uma classificação de 1-100 calculada pela EPA que avalia o desempenho energético geral de uma propriedade, com base em dados nacionais para controlar as diferenças entre clima, usos de edifícios e operações. Uma pontuação de 50 representa a mediana nacional","An EPA calculated 1-100 rating that assesses a property’s overall energy performance, based on national data to control for differences among climate, building uses, and operations. A score of 50 represents the national median",quanlitative,discreet
SiteEUIWN(kBtu/sf),A Intensidade de Uso de Energia do Local (EUI) Normalizada pelo Clima (WN) é a Energia do Local WN de uma propriedade dividida por sua área bruta de piso (em pés quadrados). A Energia do Local WN é o Uso de Energia do Local que a propriedade teria consumido durante as condições climáticas médias de 30 anos. A EUI do Local WN é medida em milhares de unidades térmicas britânicas (kBtu) por pé quadrado.,Weather Normalized (WN) Site Energy Use Intensity (EUI) is a property's WN Site Energy divided by its gross floor area (in square feet). WN Site Energy is the Site Energy Use the property would have consumed during 30-year average weather conditions. WN Site EUI is measured in measured in thousands of British thermal units (kBtu) per square foot.,,
