DataYear,BuildingName,BuildingType,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPAPropertyType,ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,NumberofBuildings
2019,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,47.54576,-122.26853,SOUTHEAST,2.0,1961,2,56228,56228,0,91.0,28.7,28.1,1688757.0,1653253.0,54.6,53.8,K-12 School,58916.0,240096.0,12048202.094594594,8340.0,K-12 School,Compliant,No Issue,819208.0,834045.0,49.3,0.9,
2019,WATERTOWN HOTEL,NonResidential,47.65958,-122.31738,NORTHEAST,1.0,2001,6,88592,58006,30586,96.0,49.6,49.6,3360246.0,3360246.0,106.7,106.7,Hotel,67770.0,619827.0,12048202.094594594,12454.0,Hotel,Compliant,No Issue,2114849.0,1245397.0,79.2,1.4,
2019,HILTON SEATTLE,NonResidential,47.60946,-122.33337,DOWNTOWN,1.0,1969,24,332210,126240,205970,96.0,42.1,42.2,14666158.0,14718438.0,89.7,90.4,Hotel,348630.0,2691432.0,12048202.094594594,55353.0,Hotel,Compliant,No Issue,9183166.0,5535271.0,350.6,2.8,
2019,5TH & PINE,NonResidential,47.6113,-122.33659,DOWNTOWN,1.0,1973,5,88717,88717,0,77.0,51.7,51.9,8756892.0,8800143.0,144.6,145.3,Office,103362.0,2579174.0,12048202.094594594,22504.475928677562,Office,Compliant,No Issue,8800142.0,2247779.528766311,54.2,0.6,
2019,CENTURY SQUARE RETAIL,NonResidential,47.61076,-122.33765,DOWNTOWN,1.0,1920,2,57428,57428,0,72.97791381968165,19.700000380000002,19.933333333333334,1145773.0,1131163.6666666667,52.26666590333334,52.99999949,Other - Mall,51747.0,308094.6666666667,12048202.094594594,4622.0,Other - Mall,Not Compliant,Missing 2019 EUI or Electricity Data,1051220.0,462236.0,24.5,0.4,
2019,GIBRALTAR TOWER,NonResidential,47.61048,-122.33794,DOWNTOWN,1.0,1910,8,59400,59400,0,72.97791381968165,40.8,40.8,2242016.0,2242016.0,114.2,114.2,Office,48366.0,657097.0,12048202.094594594,22504.475928677562,Office,Compliant,No Issue,2242016.0,2247779.528766311,13.8,0.2,
2019,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,47.60886,-122.33744,DOWNTOWN,7.0,1926,2,52549,52549,0,72.97791381968165,345.9,346.4,18144234.0,18171332.0,514.8,516.2,Other - Entertainment/Public Assembly,23500.0,1339867.0,12048202.094594594,135997.0,Mixed Use Property,Compliant,No Issue,4571626.0,13599705.0,750.5,14.3,
2019,SHERATON GRAND SEATTLE - (Parent Building),Campus,47.61087,-122.33339,DOWNTOWN,1.0,1982,34,1083197,926614,156583,67.0,86.2,86.0,85750240.0,85508736.0,173.8,173.5,Hotel,994212.0,13489430.0,14278142.0,252047.0,Hotel,Compliant,No Issue,46025935.0,25204670.0,2381.4,2.6,
2019,INN AT THE MARKET,NonResidential,47.60997,-122.34138,DOWNTOWN,1.0,1985,7,71150,57420,13730,98.0,86.9,87.1,4988638.0,4999147.0,182.5,183.0,Hotel,57420.0,880817.0,12048202.094594594,19938.0,Hotel,Compliant,No Issue,3005347.0,1993800.0,124.4,2.2,
2019,MOORE HOTEL & THEATRE,NonResidential,47.61155,-122.34114,DOWNTOWN,7.0,1908,7,122810,122810,0,100.0,46.6,46.1,5981986.0,5914514.0,67.0,66.4,Hotel,96360.0,387632.0,12048202.094594594,45919.0,Hotel,Not Compliant,Account Requires Verification,1322601.0,4591913.0,252.0,2.1,
