BuildingName,DataYear
MAYFLOWER PARK HOTEL,2020
PARAMOUNT HOTEL,2020
WESTIN HOTEL (Parent Building),2020
HOTEL MAX,2020
WARWICK SEATTLE HOTEL,2020
WEST PRECINCT (SEATTLE POLICE),2020
CAMLIN WORLDMARK HOTEL,2020
PARAMOUNT THEATER,2020
COURTYARD BY MARRIOTT - PIONEER SQ,2020
LYON BUILDING,2020
HOTEL MONACO,2020
W SEATTLE HOTEL,2020
EXECUTIVE HOTEL PACIFIC,2020
CROWNE PLAZA,2020
HOTEL VINTAGE PARK,2020
SEATTLE CENTRAL LIBRARY,2020
DOWNTOWN SEATTLE YMCA,2020
RENAISSANCE MADISON HOTEL,2020
RAINIER CLUB (HISTORICAL LANDMARK),2020
DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,2020
KING COUNTY COURTHOUSE,2020
KING COUNTY CORRECTIONAL FACILITY,2020
GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),2020
WATERTOWN HOTEL,2020
CORNISH (Main Campus Center),2020
HOMEWOOD SUITES -SEATTLE - Hilton,2020
SPRINGHILL SUITES SEATTLE DOWNTOWN,2020
MEANY MIDDLE SCHOOL (SPS-DISTRICT),2020
HOTEL FIVE,2020
JANE ADDAMS MIDDLE (SPS-DISTRICT),2020
JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),2020
GOOD SHEPHERD CENTER,2020
SILVER CLOUD INN UNIVERSITY,2020
2746 NE 45TH ST - PUBLIC STORAGE,2020
BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,2020
LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),2020
ECKSTEIN MIDDLE (SPS-DISTRICT),2020
SALMON BAY CENTER 5305 & 5309,2020
EL CENTRO DE LA RAZA,2020
BLANCHET HIGH SCHOOL,2020
VINE ST MINI STORAGE,2020
HILTON SEATTLE,2020
5TH & PINE,2020
CENTURY SQUARE RETAIL,2020
GIBRALTAR TOWER,2020
MANN BUILDING/WILD GINGER/TRIPLE DOOR,2020
PALIHOTEL,2020
ROOSEVELT HOTEL (HOTEL THEODORE),2020
SHERATON GRAND SEATTLE - (Parent Building),2020
INN AT THE MARKET,2020
MOORE HOTEL & THEATRE,2020
HOLIDAY INN - SEATTLE,2020
FAIRFIELD INN,2020
HOMEWOOD SUITES HOTEL - SEATTLE,2020
SEATTLE HEBREW ACADEMY,2020
FOUR POINTS SHERATON SEATTLE CENTER,2020
WA DEPT OF SOCIAL & HEALTH SERVICES,2020
PROVIDENCE MT ST VINCENT,2020
FOSS HOME AND VILLAGE,2020
SCCA - ALLIANCE HOUSE,2020
ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),2020
POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),2020
SORRENTO HOTEL,2020
PUGET SOUND BLOOD CENTER,2020
CITY PLACE III (Obidos/Rufus),2020
MARRIOTT RESIDENCE INN,2020
BAGLEY WRIGHT THEATER - SEATTLE CENTER,2020
ARMORY - SEATTLE CENTER,2020
CITY PLACE IV (Ruby/Dawson),2020
EXHIBITION HALL - SEATTLE CENTER,2020
MCCAW HALL - SEATTLE CENTER,2020
KCTS 9,2020
BILL & MELINDA GATES FOUNDATION,2020
SCRIPPS BUILDING - 221 FIRST AVENUE WEST,2020
THE MEDITERRANEAN INN,2020
UNIVERSITY INN,2020
PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),2020
ST JOSEPH K-8 SCHOOL,2020
HOLY NAMES ACADEMY,2020
THE 2100 BUILDING,2020
MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),2020
MERCER MIDDLE (SPS-DISTRICT),2020
ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),2020
MCCLURE MIDDLE (SPS-DISTRICT),2020
CENTURYLINK: LAKEVIEW MAIN,2020
ROOSEVELT SQUARE,2020
HOLIDAY INN EXPRESS - SEATTLE NORTH,2020
BROADVIEW THOMSON K-8 (SPS-DISTRICT),2020
INGRAHAM HIGH (SPS-DISTRICT),2020
7066-Seattle-Northgate,2020
B F DAY ELEMENTARY (SPS-DISTRICT),2020
HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),2020
SEATTLE PACIFIC UNIVERSITY - Royal Brougham Pavilion,2020
ALEXIS HOTEL,2020
BENAROYA HALL,2020
SWEDISH MEDICAL CENTER BALLARD - CAMPUS,2020
FIRE STATION 10/FAC/EOC,2020
WING LUKE MUSEUM/KONG YICK BLDG.,2020
HAMPTON INN & SUITES,2020
FRANKLIN HIGH SCHOOL (SPS-DISTRICT),2020
SEATTLE CENTRAL COLLEGE - FINE ARTS BLDG,2020
SOUTH SEATTLE COLLEGE - CAMPUS MASTER ID,2020
SEATTLE CHILDREN'S HOSPITAL (ADMIN BLDG),2020
CSC Vehicle Maintenance (E),2020
GARFIELD HIGH (SPS-DISTRICT),2020
EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),2020
MADRONA SCHOOL (SPS-DISTRICT),2020
VAN ASSELT ELEMENTARY @ AAA  (SPS-DISTRICT),2020
UNION GOSPEL MISSION ASSN - ADMIN BUILDING,2020
UNION GOSPEL MISSION ASSN / HOPE PLACE,2020
SEATTLE PACIFIC UNIVERSITY - Otto Miller Hall,2020
"EMERSON HALL, SEATTLE PACIFIC UNIVERSITY",2020
NATHAN HALE HIGH (SPS-DISTRICT),2020
GREENWOOD ELEMENTARY (SPS-DISTRICT),2020
WEBSTER ST BUILDING (CEDAR GROVE),2020
NORTHGATE MALL SHOPPING CENTER RETAIL STORES  - ACTIVE/PRIMARY ID,2020
SEATTLE CHILDREN'S HOSPITAL  (MAIN CAMPUS),2020
Verity Credit Union,2020
BALLARD HIGH (SPS-DISTRICT),2020
SEATTLE UNIVERSITY - Madison Building (MADI),2020
NORTH SEATTLE COLLEGE - CAMPUS,2020
AKI KUROSE MIDDLE (SPS-DISTRICT),2020
BOREN STEM K-8 (SPS-DISTRICT),2020
RAINIER BOTTLING PLANT,2020
RAINIER BEACH HIGH SCHOOL (SPS-DISTRICT),2020
WHITMAN MIDDLE (SPS-DISTRICT),2020
SODO ROW,2020
WESTWOOD VILLAGE - BLDG A,2020
WESTWOOD VILLAGE - BLDG B,2020
DENNY/ SEALTH CAMPUS (SPS-DISTRICT),2020
ROXHILL ELEMENTARY SCHOOL(SPS-DISTRICT),2020
WASHINGTON MIDDLE (SPS-DISTRICT),2020
MARTIN LUTHER KING JR (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT),2020
U-HAUL RENTALS & MINI-STORAGE,2020
HAMILTON MIDDLE (SPS-DISTRICT),2020
SILVER CLOUD INN LAKE UNION,2020
ARMORY BUILDING (MOHAI),2020
SEATTLE CITY LIGHT ROY STREET WAREHOUSE,2020
THURGOOD MARSHALL (SPS-DISTRICT),2020
COURTYARD BY MARRIOTT - SEATTLE,2020
WHITTIER ELEMENTARY (SPS-DISTRICT),2020
CITY OF SEATTLE - NSC,2020
GATEWOOD ELEMENTARY SCHOOL (SPS-DISTRICT),2020
HOTEL NEXUS - NORTHGATE,2020
OLYMPIC VIEW (SPS-DISTRICT),2020
VAN ASSELT (OLD) SCHOOL (SPS-DISTRICT),2020
WASHINGTON PARK BUILDING,2020
CENTURYLINK FIELD-STADIUM,2020
CITY LIGHT - SOUTH SERVICE CENTER BLDG A,2020
CITY LIGHT - SOUTH SERVICE CENTER BLDG B,2020
T-MOBILE PARK (SAFECO FIELD),2020
SILVER CLOUD INN SEATTLE,2020
PORT OF SEATTLE- TERMINAL 30 (CAMPUS),2020
HARBOR ISLAND WAREHOUSE - KING COUNTY,2020
LINCOLN HIGH (SPS-DISTRICT),2020
BOEING SOUTH PARK CAMPUS REPORT,2020
THORNTON CINEMA BUILDING & PARKING GARAGE,2020
TRIBECA CONDOS & STORE,2020
2024 THIRD AVE/YWCA,2020
WEST SEATTLE COMM. RESOURCE CENTER/FOOD BANK APT/MIXED USE,2020
PINE ST. CONDO-ELLIOTT GRAND HYATT SEATTLE,2020
SWEDISH MEDICAL CENTER CHERRY HILL - CAMPUS,2020
HIGHLAND PARK SCHOOL (SPS-DISTRICT),2020
PUBLIC STORAGE (STORE 27020),2020
HARBORVIEW MEDICAL CENTER - Campus,2020
ID VILLAGE SQUARE 1,2020
WEST SEATTLE HIGH SCHOOL (SPS-DISTRICT),2020
THE WINTONIA,2020
UNIVERSITY HTS CENTER,2020
HOTEL DECA,2020
LAKE CITY CENTER,2020
UNIV CONGREGATIONAL CHURCH,2020
UNIVERSITY PRESBY CHURCH,2020
ROOSEVELT HIGH (SPS-DISTRICT),2020
BRYANT ELEMENTARY (SPS-DISTRICT),2020
FRANTZ H COE ELEMENTARY SCHOOL (SPS-DISTRICT),2020
MADISON MIDDLE (SPS-DISTRICT),2020
"MARSHALL, JOHN (SPS-DISTRICT)",2020
ACT THEATER,2020
YWCA Women's Residence,2020
CENTURYLINK: 3RD AVE 3-D,2020
COOPER SCHOOL ARTIST'S LOFTS,2020
LAKE CITY COURT,2020
OTHELLO BUILDING,2020
CLEVELAND HIGH SCHOOL (SPS-DISTRICT),2020
WA ARMY NATIONAL GUARD,2020
ELLIOTT PARK BUILDING,2020
EDGEWATER INN,2020
PORT OF SEATTLE  BELL HARBOR COMPLEX  & CONFERENCE - CAMPUS,2020
SEATTLE WATERFRONT MARRIOTT,2020
SEATTLE AQUARIUM,2020
PIER 54,2020
DAILY JOURNAL BUILDING,2020
BMW SEATTLE - SERVICE CENTER,2020
KIRO-TV,2020
GRANGE OFFICE PLAZA,2020
FOURTH & BATTERY BUILDING,2020
WESTLAKE MALL RETAIL PORTION,2020
WESTLAKE TOWER,2020
NORDSTROM DOWNTOWN,2020
CENTURYLINK: SEATTLE BELL PLAZA,2020
1700 SEVENTH BUILDING,2020
LLOYD BUILDING,2020
TOWER BLDG,2020
TIMES SQUARE BUILDING (THE VANCE CORPORATION),2020
PLAZA 600 BUILDING,2020
WEST 8TH,2020
DENNY BUILDING,2020
1918 EIGHTH AVE,2020
1800 9TH AVENUE BUILDING,2020
SEATTLE CHILDREN'S HOSPITAL  (JACK R MCDONALD BUILDING),2020
BRODERICK BUILDING,2020
PIONEER BUILDING,2020
DEXTER HORTON BUILDING,2020
EXCHANGE BUILDING,2020
NORTON BUILDING,2020
999 THIRD AVE,2020
1000 2ND AVENUE BUILDING,2020
1101 SECOND AVE OFFICE BUILDING,2020
2ND & SENECA BLDS,2020
SECOND AND SPRING BUILDING,2020
1111 3RD AVE BUILDING,2020
ABRAHAM LINCOLN BUILDING,2020
SAFECO PLAZA / 1001 FOURTH AVENUE,2020
FOURTH & MADISON ( IDX TOWER),2020
901 FIFTH AVENUE,2020
CENTRAL BUILDING,2020
SEATTLE MUNICIPAL TOWER,2020
SEATTLE JUSTICE CENTER,2020
CITY HALL,2020
CHINOOK BLDG - KING COUNTY,2020
YESLER BUILDING - KING COUNTY,2020
UNIVERSITY BOOK STORE,2020
UW TOWER BLDG COMPLEX,2020
UW TOWER DATA CENTER,2020
UNIVERSITY DISTRICT BUILDING,2020
4311 11th Avenue NE,2020
4300 ROOSEVELT,2020
1411 BUILDING,2020
SEATTLE VAULT SELF STORAGE,2020
METROPOLITAN PARK I  (WEST) OFFICE BLDG,2020
METROPOLITAN PARK NORTH BUILDING,2020
METROPOLITAN PARK EAST,2020
FOURTH & BLANCHARD BUILDING,2020
3005 1ST AVE BUILDING,2020
THIRD AND BROAD BLDG,2020
5TH & BELL BUILDING,2020
SIXTH & WALL BUILDING (521 WALL ST),2020
3101 WESTERN (FORMERLY AIRBORNE BLDG),2020
QFC HOLMAN ROAD,2020
COLLINS BUILDING,2020
SMITH TOWER,2020
DAWN FOOD PRODUCTS,2020
SKINNER BLDG,2020
IBM BUILDING,2020
PUGET SOUND PLAZA,2020
RAINIER TOWER,2020
FAIRMONT OLYMPIC HOTEL,2020
LOWES & AMAZON W,2020
THAW BUILDING,2020
"LINDEN BUILDING (Formerly EUROPEAN SOAPS, LTD)",2020
500 YALE AVENUE NORTH,2020
REPUBLICAN BUILDING,2020
FERGUSON TERMINAL,2020
SALMON BAY CENTER 5301,2020
2601 ELLIOTT AVE,2020
WASH MUTUAL TOWER (1201 THIRD AVE),2020
WASHINGTON ATHLETIC CLUB,2020
US BANK CENTRE,2020
LOGAN BUILDING,2020
O'SHEA BUILDING/GAP,2020
DECATUR BUILDING,2020
520 PIKE BUILDING,2020
4PIKE,2020
WASHINGTON FEDERAL BUILDING,2020
MOTIF SEATTLE,2020
JOSHUA GREEN BUILDING,2020
MIKEN BLDG.,2020
VANCE BUILDING,2020
CENTURY SQUARE,2020
MELBOURNE TOWER OFF,2020
POLL BUILDING,2020
MAIN MARKET,2020
MERIDIAN CENTER WEST,2020
MERIDIAN CENTER EAST,2020
TWO UNION SQUARE,2020
ONE UNION SQUARE,2020
PARK PLACE OFFICE BLDG,2020
"101 Stewart Street, LLC",2020
PORT OF SEATTLE - WORLD TRADE CENTER-WEST,2020
WORLD TRADE CENTER-EAST,2020
CENTURYLINK: LENORA MAIN,2020
